Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-02-23,3697.99,3913.99,3678.0,3798.0,10417.084,39821950.9701,3822.75413831
2014-02-22,3542.85,3720.0,3405.88,3697.99,9294.721,33029612.9267,3553.5884215
2014-02-21,3500.04,3630.0,3300.0,3542.84,15232.724,53125525.4011,3487.59193701
2014-02-20,3852.51,3879.99,3500.04,3500.04,10974.053,40412559.9722,3682.55556741
2014-02-19,3884.0,3917.99,3830.0,3852.52,2042.062,7879286.97437,3858.49546898
2014-02-18,3920.03,3960.0,3816.01,3883.99,3856.308,15029669.9564,3897.42467572
2014-02-17,3816.16,4020.0,3758.0,3920.04,7857.748,30634888.6267,3898.68555555
2014-02-16,3980.0,4047.0,3750.0,3816.17,9084.271,35474677.1084,3905.06592201
2014-02-15,4070.0,4070.0,3880.01,3980.01,7545.598,29984243.8199,3973.73989707
2014-02-14,3800.0,4150.0,3333.33,4069.99,24865.161,92659687.6342,3726.48653408
2014-02-13,4030.25,4030.25,3800.0,3800.0,8017.536,31619797.6193,3943.82982743
2014-02-12,4215.04,4231.21,3959.99,4030.25,11012.821,45034542.8028,4089.28310038
2014-02-11,4177.99,4385.0,4099.0,4215.04,11171.91,47710238.0383,4270.55338239
2014-02-10,4483.0,4549.98,3850.02,4177.98,18219.865,76616047.3599,4205.08315292
2014-02-09,4537.46,4540.0,4462.01,4483.0,5747.156,25884748.3228,4503.92303998
2014-02-08,4566.0,4614.0,4504.41,4537.41,6864.069,31299830.4601,4559.95277148
2014-02-07,4822.02,4822.03,4412.01,4566.0,17661.124,81214973.6926,4598.51670214
2014-02-06,4901.0,4901.0,4810.01,4822.02,4089.356,19805065.3087,4843.07683378
2014-02-05,4910.16,4941.0,4901.0,4901.0,1538.68,7585730.8567,4930.02499331
2014-02-04,4929.99,4929.99,4905.6,4910.15,1333.371,6548635.65039,4911.33799249
2014-02-03,4966.01,4966.01,4900.0,4930.0,1702.609,8394124.46094,4930.1539349
2014-02-02,4949.99,5014.99,4949.99,4966.01,2207.924,11012435.7906,4987.68788717
2014-02-01,4872.37,4995.95,4872.37,4949.99,2307.283,11392153.8574,4937.47574849
2014-01-31,4830.01,4872.38,4830.01,4872.37,1167.254,5670364.23523,4857.86661278
2014-01-30,4827.99,4889.99,4756.0,4830.01,41050.459,198367283.043,4832.2792942
2014-01-29,4824.48,4849.01,4771.01,4827.99,1937.165,9331181.85819,4816.92672446
2014-01-28,4748.08,4884.99,4665.01,4824.83,6449.392,30795851.0949,4775.00066594
2014-01-27,5032.0,5032.01,4711.0,4748.08,4427.353,21751593.4213,4913.00183684
2014-01-26,4890.0,5100.0,4852.32,5032.0,5549.657,27633878.6082,4979.38496166
